Country Code,Country,Date,Core_CPI
AUS,Australia,1978-01-01,7.5
AUT,Austria,1978-01-01,3.7
BEL,Belgium,1978-01-01,6.1
CAN,Canada,1978-01-01,7.6
CHE,Switzerland,1978-01-01,0.9
DEU,Germany,1978-01-01,3.0
DNK,Denmark,1978-01-01,10.6
ESP,Spain,1978-01-01,21.6
ETH,Ethiopia,1978-01-01,11.1
FIN,Finland,1978-01-01,8.9
FRA,France,1978-01-01,9.4
GBR,United Kingdom,1978-01-01,9.6
GRC,Greece,1978-01-01,12.0
GTM,Guatemala,1978-01-01,1.6
IRL,Ireland,1978-01-01,7.7
ISR,Israel,1978-01-01,52.2
ITA,Italy,1978-01-01,12.5
JPN,Japan,1978-01-01,5.3
KOR,"Korea, Rep.",1978-01-01,11.9
LUX,Luxembourg,1978-01-01,3.5
NLD,Netherlands,1978-01-01,4.8
NZL,New Zealand,1978-01-01,12.2
PAN,Panama,1978-01-01,5.5
PRT,Portugal,1978-01-01,22.4
SGP,Singapore,1978-01-01,3.9
SWE,Sweden,1978-01-01,9.7
TUN,Tunisia,1978-01-01,2.2
USA,United States,1978-01-01,7.3
AUS,Australia,1979-01-01,7.2
AUT,Austria,1979-01-01,3.8
BEL,Belgium,1979-01-01,4.2
CAN,Canada,1979-01-01,8.4
CHE,Switzerland,1979-01-01,1.7
DEU,Germany,1979-01-01,3.3
DNK,Denmark,1979-01-01,8.9
ESP,Spain,1979-01-01,19.1
ETH,Ethiopia,1979-01-01,8.5
FIN,Finland,1979-01-01,8.3
FRA,France,1979-01-01,-15.1
GBR,United Kingdom,1979-01-01,13.2
GRC,Greece,1979-01-01,19.3
GTM,Guatemala,1979-01-01,15.2
IRL,Ireland,1979-01-01,12.7
ISR,Israel,1979-01-01,78.1
ITA,Italy,1979-01-01,15.3
JPN,Japan,1979-01-01,3.9
KOR,"Korea, Rep.",1979-01-01,19.5
LUX,Luxembourg,1979-01-01,4.2
NLD,Netherlands,1979-01-01,4.5
NOR,Norway,1979-01-01,4.5
NZL,New Zealand,1979-01-01,12.5
PAN,Panama,1979-01-01,7.5
PRT,Portugal,1979-01-01,18.8
SGP,Singapore,1979-01-01,12.9
SWE,Sweden,1979-01-01,6.7
TUN,Tunisia,1979-01-01,7.4
USA,United States,1979-01-01,9.7
AUS,Australia,1980-01-01,9.1
AUT,Austria,1980-01-01,5.5
BEL,Belgium,1980-01-01,-9.2
CAN,Canada,1980-01-01,9.5
CHE,Switzerland,1980-01-01,3.2
DEU,Germany,1980-01-01,5.3
DNK,Denmark,1980-01-01,10.4
ESP,Spain,1980-01-01,15.6
ETH,Ethiopia,1980-01-01,12.3
