Inflation Measure Type,Series Name,Description,Aggregation,Year,Inflation Rate
,PPI_GLOBAL_AVE_GDP,Global producer price index (PPI) inflation,GDP-weighted Average,1971,1.9
,PPI_AE_MED,Advanced-economy PPI inflation,Median,1971,4.2
,PPI_AE_AVE,Advanced-economy PPI inflation,Average,1971,3.7
,PPI_AE_AVE_GDP,Advanced-economy PPI inflation,GDP-weighted Average,1971,1.7
,PPI_EMDE_MED,EMDE producer price index (PPI) inflation,Median,1971,4.0
,PPI_EMDE_AVE,EMDE producer price index (PPI) inflation,Average,1971,4.6
,PPI_EMDE_AVE_GDP,EMDE producer price index (PPI) inflation,GDP-weighted Average,1971,5.4
GDP deflator growth rate,DEFLATOR_GLOBAL_MED,Global GDP deflator growth rate,Median,1971,5.4
(percent),DEFLATOR_GLOBAL_AVE,Global GDP deflator growth rate,Average,1971,6.1
,DEFLATOR_GLOBAL_AVE_GDP,Global GDP deflator growth rate,GDP-weighted Average,1971,6.6
,DEFLATOR_AE_MED,Advanced-economy GDP deflator growth rate,Median,1971,7.4
,DEFLATOR_AE_AVE,Advanced-economy GDP deflator growth rate,Average,1971,8.2
,DEFLATOR_AE_AVE_GDP,Advanced-economy GDP deflator growth rate,GDP-weighted Average,1971,6.1
,DEFLATOR_EMDE_MED,EMDE GDP deflator growth rate,Median,1971,4.6
,DEFLATOR_EMDE_AVE,EMDE GDP deflator growth rate,Average,1971,5.9
,DEFLATOR_EMDE_AVE_GDP,EMDE GDP deflator growth rate,GDP-weighted Average,1971,9.1
,DEFLATOR_EAP_MED,EMDE GDP deflator growth rate: East Asia and Pacific ,Median,1971,3.5
,DEFLATOR_ECA_MED,EMDE GDP deflator growth rate: Europe and Central Asia ,Median,1971,7.8
,DEFLATOR_LAC_MED,EMDE GDP deflator growth rate: Latin America and the Caribbean ,Median,1971,5.9
,DEFLATOR_MNA_MED,EMDE GDP deflator growth rate: Middle East and North Africa ,Median,1971,5.2
,DEFLATOR_SAR_MED,EMDE GDP deflator growth rate: South Asia ,Median,1971,4.5
,DEFLATOR_SSA_MED,EMDE GDP deflator growth rate: Sub-Saharan Africa ,Median,1971,4.2
Headline CPI inflation,HCPI_GLOBAL_MED,Global headline consumer price index (HCPI) inflation,Median,1972,6.0
(percent),HCPI_GLOBAL_AVE,Global headline consumer price index (HCPI) inflation,Average,1972,6.9
,HCPI_GLOBAL_AVE_GDP,Global headline consumer price index (HCPI) inflation,GDP-weighted Average,1972,5.1
,HCPI_GLOBAL_MED_BAL,Global headline consumer price index (HCPI) inflation,Median (balanced group),1972,5.7
,HCPI_AE_MED,Advanced-economy HCPI inflation,Median,1972,6.4
,HCPI_AE_AVE,Advanced-economy HCPI inflation,Average,1972,7.0
,HCPI_AE_AVE_GDP,Advanced-economy HCPI inflation,GDP-weighted Average,1972,4.8
,HCPI_AE_MED_BAL,Advanced-economy HCPI inflation,Median (balanced group),1972,6.1
,HCPI_EMDE_MED,EMDE  HCPI inflation,Median,1972,5.6
,HCPI_EMDE_AVE,EMDE  HCPI inflation,Average,1972,7.0
,HCPI_EMDE_AVE_GDP,EMDE  HCPI inflation,GDP-weighted Average,1972,6.7
,HCPI_EMDE_MED_BAL,EMDE  HCPI inflation,Median (balanced group),1972,5.6
,HCPI_LIC_MED,Low income country (LIC) HCPI inflation,Median,1972,5.3
,HCPI_LIC_MED_BAL,Low income country (LIC) HCPI inflation,Median (balanced group),1972,4.8
,HCPI_NON-LIC_MED,Non-LIC EMDE HCPI inflation,Median,1972,6.2
,HCPI_NON-LIC_MED_BAL,Non-LIC EMDE HCPI inflation,Median (balanced group),1972,6.2
,HCPI_EAP_MED,EMDE HCPI inflation: East Asia and Pacific ,Median,1972,7.5
,HCPI_ECA_MED,EMDE HCPI inflation: Europe and Central Asia ,Median,1972,-0.1
,HCPI_LAC_MED,EMDE HCPI inflation: Latin America and the Caribbean ,Median,1972,6.5
,HCPI_MNA_MED,EMDE HCPI inflation: Middle East and North Africa ,Median,1972,5.0
,HCPI_SAR_MED,EMDE HCPI inflation: South Asia ,Median,1972,6.2
,HCPI_SSA_MED,EMDE HCPI inflation: Sub-Saharan Africa ,Median,1972,5.6
Food CPI inflation,FCPI_GLOBAL_MED,Global food consumer price index (FCPI) inflation,Median,1972,6.7
(percent),FCPI_GLOBAL_AVE,Global food consumer price index (FCPI) inflation,Average,1972,7.9
,FCPI_GLOBAL_AVE_GDP,Global food consumer price index (FCPI) inflation,GDP-weighted Average,1972,6.3
,FCPI_AE_MED,Advanced-economy FCPI inflation,Median,1972,6.7
,FCPI_AE_AVE,Advanced-economy FCPI inflation,Average,1972,7.5
,FCPI_AE_AVE_GDP,Advanced-economy FCPI inflation,GDP-weighted Average,1972,5.5
,FCPI_EMDE_MED,EMDE FCPI inflation,Median,1972,6.8
,FCPI_EMDE_AVE,EMDE FCPI inflation,Average,1972,8.1
,FCPI_EMDE_AVE_GDP,EMDE FCPI inflation,GDP-weighted Average,1972,11.7
Energy price index,ENERGY_GLOBAL_MED,Global energy price index inflation,Median,1972,3.0
(percent),ENERGY_GLOBAL_AVE,Global energy price index inflation,Average,1972,4.4
,ENERGY_GLOBAL_AVE_GDP,Global energy price index inflation,GDP-weighted Average,1972,6.0
,ENERGY_AE_MED,Advanced-economy energy price index inflation,Median,1972,3.1
,ENERGY_AE_AVE,Advanced-economy energy price index inflation,Average,1972,3.8
,ENERGY_AE_AVE_GDP,Advanced-economy energy price index inflation,GDP-weighted Average,1972,5.3
,ENERGY_EMDE_MED,EMDE energy price index inflation,Median,1972,2.5
,ENERGY_EMDE_AVE,EMDE energy price index inflation,Average,1972,4.4
,ENERGY_EMDE_AVE_GDP,EMDE energy price index inflation,GDP-weighted Average,1972,9.1
Official core consumer price inflation,CORE_GLOBAL_MED,Global core consumer price index inflation,Median,1972,5.9
(percent),CORE_GLOBAL_AVE,Global core consumer price index inflation,Average,1972,6.3
,CORE_GLOBAL_AVE_GDP,Global core consumer price index inflation,GDP-weighted Average,1972,4.6
,CORE_AE_MED,Advanced-economy core consumer price index inflation,Median,1972,6.2
,CORE_AE_AVE,Advanced-economy core consumer price index inflation,Average,1972,6.9
,CORE_AE_AVE_GDP,Advanced-economy core consumer price index inflation,GDP-weighted Average,1972,4.6
,CORE_EMDE_MED,EMDE core consumer price index inflation,Median,1972,2.1
,CORE_EMDE_AVE,EMDE core consumer price index inflation,Average,1972,2.9
,CORE_EMDE_AVE_GDP,EMDE core consumer price index inflation,GDP-weighted Average,1972,2.6
Producer price index,PPI_GLOBAL_MED,Global producer price index (PPI) inflation,Median,1972,5.2
(percent),PPI_GLOBAL_AVE,Global producer price index (PPI) inflation,Average,1972,6.5
,PPI_GLOBAL_AVE_GDP,Global producer price index (PPI) inflation,GDP-weighted Average,1972,4.2
,PPI_AE_MED,Advanced-economy PPI inflation,Median,1972,4.8
,PPI_AE_AVE,Advanced-economy PPI inflation,Average,1972,5.7
,PPI_AE_AVE_GDP,Advanced-economy PPI inflation,GDP-weighted Average,1972,4.0
,PPI_EMDE_MED,EMDE producer price index (PPI) inflation,Median,1972,7.8
,PPI_EMDE_AVE,EMDE producer price index (PPI) inflation,Average,1972,7.7
,PPI_EMDE_AVE_GDP,EMDE producer price index (PPI) inflation,GDP-weighted Average,1972,8.5
GDP deflator growth rate,DEFLATOR_GLOBAL_MED,Global GDP deflator growth rate,Median,1972,6.2
(percent),DEFLATOR_GLOBAL_AVE,Global GDP deflator growth rate,Average,1972,6.8
,DEFLATOR_GLOBAL_AVE_GDP,Global GDP deflator growth rate,GDP-weighted Average,1972,5.7
,DEFLATOR_AE_MED,Advanced-economy GDP deflator growth rate,Median,1972,7.2
,DEFLATOR_AE_AVE,Advanced-economy GDP deflator growth rate,Average,1972,8.3
,DEFLATOR_AE_AVE_GDP,Advanced-economy GDP deflator growth rate,GDP-weighted Average,1972,5.5
,DEFLATOR_EMDE_MED,EMDE GDP deflator growth rate,Median,1972,6.0
,DEFLATOR_EMDE_AVE,EMDE GDP deflator growth rate,Average,1972,6.6
,DEFLATOR_EMDE_AVE_GDP,EMDE GDP deflator growth rate,GDP-weighted Average,1972,6.8
,DEFLATOR_EAP_MED,EMDE GDP deflator growth rate: East Asia and Pacific ,Median,1972,6.1
,DEFLATOR_ECA_MED,EMDE GDP deflator growth rate: Europe and Central Asia ,Median,1972,8.5
,DEFLATOR_LAC_MED,EMDE GDP deflator growth rate: Latin America and the Caribbean ,Median,1972,6.8
,DEFLATOR_MNA_MED,EMDE GDP deflator growth rate: Middle East and North Africa ,Median,1972,3.1
,DEFLATOR_SAR_MED,EMDE GDP deflator growth rate: South Asia ,Median,1972,6.0
,DEFLATOR_SSA_MED,EMDE GDP deflator growth rate: Sub-Saharan Africa ,Median,1972,6.1
Headline CPI inflation,HCPI_GLOBAL_MED,Global headline consumer price index (HCPI) inflation,Median,1973,10.2
(percent),HCPI_GLOBAL_AVE,Global headline consumer price index (HCPI) inflation,Average,1973,11.4
,HCPI_GLOBAL_AVE_GDP,Global headline consumer price index (HCPI) inflation,GDP-weighted Average,1973,8.4
,HCPI_GLOBAL_MED_BAL,Global headline consumer price index (HCPI) inflation,Median (balanced group),1973,10.3
,HCPI_AE_MED,Advanced-economy HCPI inflation,Median,1973,9.2
,HCPI_AE_AVE,Advanced-economy HCPI inflation,Average,1973,10.5
,HCPI_AE_AVE_GDP,Advanced-economy HCPI inflation,GDP-weighted Average,1973,7.9
,HCPI_AE_MED_BAL,Advanced-economy HCPI inflation,Median (balanced group),1973,8.2
,HCPI_EMDE_MED,EMDE  HCPI inflation,Median,1973,10.8
,HCPI_EMDE_AVE,EMDE  HCPI inflation,Average,1973,11.8
,HCPI_EMDE_AVE_GDP,EMDE  HCPI inflation,GDP-weighted Average,1973,10.8
,HCPI_EMDE_MED_BAL,EMDE  HCPI inflation,Median (balanced group),1973,11.1
,HCPI_LIC_MED,Low income country (LIC) HCPI inflation,Median,1973,7.3
,HCPI_LIC_MED_BAL,Low income country (LIC) HCPI inflation,Median (balanced group),1973,7.3
,HCPI_NON-LIC_MED,Non-LIC EMDE HCPI inflation,Median,1973,11.4
,HCPI_NON-LIC_MED_BAL,Non-LIC EMDE HCPI inflation,Median (balanced group),1973,11.5
,HCPI_EAP_MED,EMDE HCPI inflation: East Asia and Pacific ,Median,1973,15.6
,HCPI_ECA_MED,EMDE HCPI inflation: Europe and Central Asia ,Median,1973,0.4
,HCPI_LAC_MED,EMDE HCPI inflation: Latin America and the Caribbean ,Median,1973,13.4
,HCPI_MNA_MED,EMDE HCPI inflation: Middle East and North Africa ,Median,1973,8.6
,HCPI_SAR_MED,EMDE HCPI inflation: South Asia ,Median,1973,12.2
,HCPI_SSA_MED,EMDE HCPI inflation: Sub-Saharan Africa ,Median,1973,10.0
Food CPI inflation,FCPI_GLOBAL_MED,Global food consumer price index (FCPI) inflation,Median,1973,13.2
(percent),FCPI_GLOBAL_AVE,Global food consumer price index (FCPI) inflation,Average,1973,14.0
,FCPI_GLOBAL_AVE_GDP,Global food consumer price index (FCPI) inflation,GDP-weighted Average,1973,12.7
,FCPI_AE_MED,Advanced-economy FCPI inflation,Median,1973,12.2
,FCPI_AE_AVE,Advanced-economy FCPI inflation,Average,1973,12.0
,FCPI_AE_AVE_GDP,Advanced-economy FCPI inflation,GDP-weighted Average,1973,12.1
,FCPI_EMDE_MED,EMDE FCPI inflation,Median,1973,15.3
,FCPI_EMDE_AVE,EMDE FCPI inflation,Average,1973,14.7
,FCPI_EMDE_AVE_GDP,EMDE FCPI inflation,GDP-weighted Average,1973,17.0
Energy price index,ENERGY_GLOBAL_MED,Global energy price index inflation,Median,1973,4.9
(percent),ENERGY_GLOBAL_AVE,Global energy price index inflation,Average,1973,7.1
,ENERGY_GLOBAL_AVE_GDP,Global energy price index inflation,GDP-weighted Average,1973,9.8
,ENERGY_AE_MED,Advanced-economy energy price index inflation,Median,1973,4.5
,ENERGY_AE_AVE,Advanced-economy energy price index inflation,Average,1973,6.9
,ENERGY_AE_AVE_GDP,Advanced-economy energy price index inflation,GDP-weighted Average,1973,9.2
,ENERGY_EMDE_MED,EMDE energy price index inflation,Median,1973,4.4
,ENERGY_EMDE_AVE,EMDE energy price index inflation,Average,1973,6.5
,ENERGY_EMDE_AVE_GDP,EMDE energy price index inflation,GDP-weighted Average,1973,12.2
Official core consumer price inflation,CORE_GLOBAL_MED,Global core consumer price index inflation,Median,1973,8.6
(percent),CORE_GLOBAL_AVE,Global core consumer price index inflation,Average,1973,9.6
,CORE_GLOBAL_AVE_GDP,Global core consumer price index inflation,GDP-weighted Average,1973,6.6
,CORE_AE_MED,Advanced-economy core consumer price index inflation,Median,1973,8.7
,CORE_AE_AVE,Advanced-economy core consumer price index inflation,Average,1973,10.1
,CORE_AE_AVE_GDP,Advanced-economy core consumer price index inflation,GDP-weighted Average,1973,6.6
,CORE_EMDE_MED,EMDE core consumer price index inflation,Median,1973,6.1
,CORE_EMDE_AVE,EMDE core consumer price index inflation,Average,1973,7.3
,CORE_EMDE_AVE_GDP,EMDE core consumer price index inflation,GDP-weighted Average,1973,7.6
Producer price index,PPI_GLOBAL_MED,Global producer price index (PPI) inflation,Median,1973,12.4
(percent),PPI_GLOBAL_AVE,Global producer price index (PPI) inflation,Average,1973,12.6
,PPI_GLOBAL_AVE_GDP,Global producer price index (PPI) inflation,GDP-weighted Average,1973,12.1
,PPI_AE_MED,Advanced-economy PPI inflation,Median,1973,12.5
,PPI_AE_AVE,Advanced-economy PPI inflation,Average,1973,12.1
,PPI_AE_AVE_GDP,Advanced-economy PPI inflation,GDP-weighted Average,1973,11.9
,PPI_EMDE_MED,EMDE producer price index (PPI) inflation,Median,1973,13.3
,PPI_EMDE_AVE,EMDE producer price index (PPI) inflation,Average,1973,13.4
,PPI_EMDE_AVE_GDP,EMDE producer price index (PPI) inflation,GDP-weighted Average,1973,16.7
