Country Code,Country,Date,Core_CPI
CAN,Canada,1973-01-01,19.3
CHE,Switzerland,1973-01-01,40.1
DEU,Germany,1973-01-01,35.3
DNK,Denmark,1973-01-01,16.7
FIN,Finland,1973-01-01,14.4
FRA,France,1973-01-01,17.7
GBR,United Kingdom,1973-01-01,11.3
GRC,Greece,1973-01-01,1.6
ISR,Israel,1973-01-01,0.0
ITA,Italy,1973-01-01,6.6
JPN,Japan,1973-01-01,37.5
LUX,Luxembourg,1973-01-01,23.0
NLD,Netherlands,1973-01-01,26.6
NZL,New Zealand,1973-01-01,8.3
PRT,Portugal,1973-01-01,2.2
SWE,Sweden,1973-01-01,17.1
USA,United States,1973-01-01,18.5
AUS,Australia,1973-04-01,11.3
AUT,Austria,1973-04-01,25.7
CAN,Canada,1973-04-01,19.6
CHE,Switzerland,1973-04-01,40.9
DEU,Germany,1973-04-01,35.9
DNK,Denmark,1973-04-01,17.2
FIN,Finland,1973-04-01,14.8
FRA,France,1973-04-01,18.0
GBR,United Kingdom,1973-04-01,11.6
GRC,Greece,1973-04-01,1.7
ISR,Israel,1973-04-01,0.0
ITA,Italy,1973-04-01,6.8
JPN,Japan,1973-04-01,39.4
LUX,Luxembourg,1973-04-01,23.5
NLD,Netherlands,1973-04-01,27.5
NZL,New Zealand,1973-04-01,8.6
PRT,Portugal,1973-04-01,2.3
SWE,Sweden,1973-04-01,17.4
USA,United States,1973-04-01,18.7
AUS,Australia,1973-07-01,11.6
AUT,Austria,1973-07-01,26.0
CAN,Canada,1973-07-01,20.1
CHE,Switzerland,1973-07-01,41.5
DEU,Germany,1973-07-01,36.3
DNK,Denmark,1973-07-01,17.5
FIN,Finland,1973-07-01,15.6
FRA,France,1973-07-01,18.4
GBR,United Kingdom,1973-07-01,11.8
GRC,Greece,1973-07-01,1.8
ISR,Israel,1973-07-01,0.0
ITA,Italy,1973-07-01,6.9
JPN,Japan,1973-07-01,40.7
LUX,Luxembourg,1973-07-01,23.7
NLD,Netherlands,1973-07-01,27.7
NZL,New Zealand,1973-07-01,8.7
PRT,Portugal,1973-07-01,2.4
SWE,Sweden,1973-07-01,17.6
USA,United States,1973-07-01,18.9
AUS,Australia,1973-10-01,12.0
AUT,Austria,1973-10-01,26.6
CAN,Canada,1973-10-01,20.4
CHE,Switzerland,1973-10-01,43.1
DEU,Germany,1973-10-01,36.7
DNK,Denmark,1973-10-01,18.1
FIN,Finland,1973-10-01,16.0
FRA,France,1973-10-01,18.9
GBR,United Kingdom,1973-10-01,12.1
GRC,Greece,1973-10-01,2.1
ISR,Israel,1973-10-01,0.0
ITA,Italy,1973-10-01,7.1
JPN,Japan,1973-10-01,42.3
LUX,Luxembourg,1973-10-01,24.1
NLD,Netherlands,1973-10-01,28.3
NZL,New Zealand,1973-10-01,8.9
PRT,Portugal,1973-10-01,2.5
SWE,Sweden,1973-10-01,17.9
USA,United States,1973-10-01,19.2
AUS,Australia,1974-01-01,12.4
AUT,Austria,1974-01-01,27.4
CAN,Canada,1974-01-01,20.9
CHE,Switzerland,1974-01-01,43.9
DEU,Germany,1974-01-01,37.6
DNK,Denmark,1974-01-01,18.7
FIN,Finland,1974-01-01,16.5
FRA,France,1974-01-01,19.4
GBR,United Kingdom,1974-01-01,12.5
GRC,Greece,1974-01-01,2.1
ISR,Israel,1974-01-01,0.0
ITA,Italy,1974-01-01,7.4
JPN,Japan,1974-01-01,45.4
LUX,Luxembourg,1974-01-01,24.8
NLD,Netherlands,1974-01-01,28.9
NZL,New Zealand,1974-01-01,9.1
PRT,Portugal,1974-01-01,2.8
