Country Code,Country,Date,GDP_Deflator_Index
TWN,"Taiwan, China",1977-07-01,49.4
USA,United States,1977-07-01,34.9
ZAF,South Africa,1977-07-01,2.8
AUS,Australia,1977-10-01,21.6
CAN,Canada,1977-10-01,31.7
DEU,Germany,1977-10-01,47.4
FRA,France,1977-10-01,30.8
GBR,United Kingdom,1977-10-01,21.5
HKG,"Hong Kong SAR, China",1977-10-01,18.2
KOR,"Korea, Rep.",1977-10-01,14.3
NLD,Netherlands,1977-10-01,46.2
SGP,Singapore,1977-10-01,46.6
TWN,"Taiwan, China",1977-10-01,48.3
USA,United States,1977-10-01,35.6
ZAF,South Africa,1977-10-01,3.0
AUS,Australia,1978-01-01,22.1
CAN,Canada,1978-01-01,32.1
DEU,Germany,1978-01-01,47.9
FRA,France,1978-01-01,31.3
GBR,United Kingdom,1978-01-01,22.3
HKG,"Hong Kong SAR, China",1978-01-01,18.2
KOR,"Korea, Rep.",1978-01-01,15.3
NLD,Netherlands,1978-01-01,46.8
NOR,Norway,1978-01-01,21.4
SGP,Singapore,1978-01-01,47.9
TWN,"Taiwan, China",1978-01-01,49.0
USA,United States,1978-01-01,36.2
ZAF,South Africa,1978-01-01,3.1
AUS,Australia,1978-04-01,22.6
CAN,Canada,1978-04-01,32.9
DEU,Germany,1978-04-01,48.3
FRA,France,1978-04-01,32.2
GBR,United Kingdom,1978-04-01,22.9
HKG,"Hong Kong SAR, China",1978-04-01,18.3
KOR,"Korea, Rep.",1978-04-01,16.0
NLD,Netherlands,1978-04-01,47.7
NOR,Norway,1978-04-01,21.6
SGP,Singapore,1978-04-01,47.2
TWN,"Taiwan, China",1978-04-01,50.4
USA,United States,1978-04-01,36.9
ZAF,South Africa,1978-04-01,3.1
AUS,Australia,1978-07-01,23.0
CAN,Canada,1978-07-01,33.4
DEU,Germany,1978-07-01,48.8
FRA,France,1978-07-01,33.3
GBR,United Kingdom,1978-07-01,23.3
HKG,"Hong Kong SAR, China",1978-07-01,19.3
KOR,"Korea, Rep.",1978-07-01,17.2
NLD,Netherlands,1978-07-01,48.3
NOR,Norway,1978-07-01,22.5
SGP,Singapore,1978-07-01,47.5
TWN,"Taiwan, China",1978-07-01,51.7
USA,United States,1978-07-01,37.5
ZAF,South Africa,1978-07-01,3.2
AUS,Australia,1978-10-01,23.4
CAN,Canada,1978-10-01,34.1
DEU,Germany,1978-10-01,49.0
FRA,France,1978-10-01,34.0
GBR,United Kingdom,1978-10-01,23.9
HKG,"Hong Kong SAR, China",1978-10-01,20.4
KOR,"Korea, Rep.",1978-10-01,17.7
NLD,Netherlands,1978-10-01,48.4
NOR,Norway,1978-10-01,23.1
SGP,Singapore,1978-10-01,48.4
TWN,"Taiwan, China",1978-10-01,51.5
USA,United States,1978-10-01,38.2
ZAF,South Africa,1978-10-01,3.4
AUS,Australia,1979-01-01,23.9
CAN,Canada,1979-01-01,34.9
DEU,Germany,1979-01-01,49.7
FRA,France,1979-01-01,34.8
GBR,United Kingdom,1979-01-01,24.7
HKG,"Hong Kong SAR, China",1979-01-01,20.6
KOR,"Korea, Rep.",1979-01-01,18.0
NLD,Netherlands,1979-01-01,48.7
NOR,Norway,1979-01-01,22.6
SGP,Singapore,1979-01-01,48.7
TWN,"Taiwan, China",1979-01-01,54.1
USA,United States,1979-01-01,38.9
ZAF,South Africa,1979-01-01,3.6
AUS,Australia,1979-04-01,24.7
CAN,Canada,1979-04-01,36.1
DEU,Germany,1979-04-01,50.2
FRA,France,1979-04-01,35.6
GBR,United Kingdom,1979-04-01,25.3
HKG,"Hong Kong SAR, China",1979-04-01,21.6
KOR,"Korea, Rep.",1979-04-01,18.7
NLD,Netherlands,1979-04-01,49.5
NOR,Norway,1979-04-01,23.2
SGP,Singapore,1979-04-01,49.3
TWN,"Taiwan, China",1979-04-01,55.5
USA,United States,1979-04-01,39.9
ZAF,South Africa,1979-04-01,3.5
AUS,Australia,1979-07-01,25.3
CAN,Canada,1979-07-01,36.9
DEU,Germany,1979-07-01,51.0
FRA,France,1979-07-01,36.5
GBR,United Kingdom,1979-07-01,27.2
HKG,"Hong Kong SAR, China",1979-07-01,23.0
KOR,"Korea, Rep.",1979-07-01,20.3
NLD,Netherlands,1979-07-01,50.2
NOR,Norway,1979-07-01,23.6
SGP,Singapore,1979-07-01,51.1
TWN,"Taiwan, China",1979-07-01,57.8
USA,United States,1979-07-01,40.8
ZAF,South Africa,1979-07-01,3.5
AUS,Australia,1979-10-01,25.8
CAN,Canada,1979-10-01,37.8
DEU,Germany,1979-10-01,51.3
FRA,France,1979-10-01,37.5
GBR,United Kingdom,1979-10-01,28.4
HKG,"Hong Kong SAR, China",1979-10-01,24.4
KOR,"Korea, Rep.",1979-10-01,21.6
NLD,Netherlands,1979-10-01,50.5
NOR,Norway,1979-10-01,24.1
SGP,Singapore,1979-10-01,51.8
TWN,"Taiwan, China",1979-10-01,57.2
USA,United States,1979-10-01,41.5
ZAF,South Africa,1979-10-01,3.9
AUS,Australia,1980-01-01,26.4
CAN,Canada,1980-01-01,38.5
CHE,Switzerland,1980-01-01,54.5
DEU,Germany,1980-01-01,52.3
FRA,France,1980-01-01,38.6
GBR,United Kingdom,1980-01-01,29.8
HKG,"Hong Kong SAR, China",1980-01-01,24.7
KOR,"Korea, Rep.",1980-01-01,22.6
NLD,Netherlands,1980-01-01,51.3
NOR,Norway,1980-01-01,25.2
SGP,Singapore,1980-01-01,55.1
TWN,"Taiwan, China",1980-01-01,62.8
USA,United States,1980-01-01,42.4
ZAF,South Africa,1980-01-01,4.4
AUS,Australia,1980-04-01,26.9
CAN,Canada,1980-04-01,39.5
CHE,Switzerland,1980-04-01,55.1
DEU,Germany,1980-04-01,53.3
FRA,France,1980-04-01,39.9
GBR,United Kingdom,1980-04-01,31.2
HKG,"Hong Kong SAR, China",1980-04-01,25.1
KOR,"Korea, Rep.",1980-04-01,23.8
NLD,Netherlands,1980-04-01,52.4
NOR,Norway,1980-04-01,26.1
SGP,Singapore,1980-04-01,55.1
TWN,"Taiwan, China",1980-04-01,63.7
USA,United States,1980-04-01,43.4
ZAF,South Africa,1980-04-01,4.4
AUS,Australia,1980-07-01,27.7
CAN,Canada,1980-07-01,40.5
CHE,Switzerland,1980-07-01,55.7
DEU,Germany,1980-07-01,53.8
FRA,France,1980-07-01,41.0
GBR,United Kingdom,1980-07-01,32.3
HKG,"Hong Kong SAR, China",1980-07-01,26.4
KOR,"Korea, Rep.",1980-07-01,24.8
NLD,Netherlands,1980-07-01,53.0
NOR,Norway,1980-07-01,26.9
SGP,Singapore,1980-07-01,56.1
TWN,"Taiwan, China",1980-07-01,65.9
USA,United States,1980-07-01,44.4
ZAF,South Africa,1980-07-01,4.4
AUS,Australia,1980-10-01,28.5
CAN,Canada,1980-10-01,41.7
CHE,Switzerland,1980-10-01,56.3
DEU,Germany,1980-10-01,53.9
FRA,France,1980-10-01,41.9
GBR,United Kingdom,1980-10-01,33.7
HKG,"Hong Kong SAR, China",1980-10-01,27.6
KOR,"Korea, Rep.",1980-10-01,26.8
NLD,Netherlands,1980-10-01,53.3
NOR,Norway,1980-10-01,27.7
SGP,Singapore,1980-10-01,57.0
TWN,"Taiwan, China",1980-10-01,66.9
USA,United States,1980-10-01,45.5
ZAF,South Africa,1980-10-01,4.7
AUS,Australia,1981-01-01,28.9
CAN,Canada,1981-01-01,42.8
CHE,Switzerland,1981-01-01,57.1
DEU,Germany,1981-01-01,54.4
FRA,France,1981-01-01,43.1
GBR,United Kingdom,1981-01-01,34.7
HKG,"Hong Kong SAR, China",1981-01-01,27.7
KOR,"Korea, Rep.",1981-01-01,27.2
NLD,Netherlands,1981-01-01,54.0
NOR,Norway,1981-01-01,28.3
PHL,Philippines,1981-01-01,6.9
SGP,Singapore,1981-01-01,57.9
TWN,"Taiwan, China",1981-01-01,70.7
USA,United States,1981-01-01,46.7
ZAF,South Africa,1981-01-01,5.0
AUS,Australia,1981-04-01,29.5
CAN,Canada,1981-04-01,43.8
CHE,Switzerland,1981-04-01,57.8
DEU,Germany,1981-04-01,55.3
FRA,France,1981-04-01,44.2
GBR,United Kingdom,1981-04-01,35.3
HKG,"Hong Kong SAR, China",1981-04-01,27.9
KOR,"Korea, Rep.",1981-04-01,28.5
NLD,Netherlands,1981-04-01,54.5
NOR,Norway,1981-04-01,29.9
PHL,Philippines,1981-04-01,7.0
SGP,Singapore,1981-04-01,57.8
TWN,"Taiwan, China",1981-04-01,71.9
USA,United States,1981-04-01,47.7
ZAF,South Africa,1981-04-01,4.8
AUS,Australia,1981-07-01,30.5
CAN,Canada,1981-07-01,44.8
CHE,Switzerland,1981-07-01,58.9
DEU,Germany,1981-07-01,55.9
FRA,France,1981-07-01,45.6
GBR,United Kingdom,1981-07-01,35.9
HKG,"Hong Kong SAR, China",1981-07-01,29.3
KOR,"Korea, Rep.",1981-07-01,28.8
NLD,Netherlands,1981-07-01,55.7
NOR,Norway,1981-07-01,30.5
PHL,Philippines,1981-07-01,7.1
SGP,Singapore,1981-07-01,59.8
TWN,"Taiwan, China",1981-07-01,72.9
USA,United States,1981-07-01,48.6
ZAF,South Africa,1981-07-01,4.8
AUS,Australia,1981-10-01,31.5
CAN,Canada,1981-10-01,45.4
CHE,Switzerland,1981-10-01,60.3
DEU,Germany,1981-10-01,56.5
FRA,France,1981-10-01,47.3
GBR,United Kingdom,1981-10-01,36.9
HKG,"Hong Kong SAR, China",1981-10-01,30.0
KOR,"Korea, Rep.",1981-10-01,29.6
NLD,Netherlands,1981-10-01,57.0
NOR,Norway,1981-10-01,30.8
PHL,Philippines,1981-10-01,7.2
SGP,Singapore,1981-10-01,60.9
TWN,"Taiwan, China",1981-10-01,71.7
USA,United States,1981-10-01,49.4
ZAF,South Africa,1981-10-01,5.3
AUS,Australia,1982-01-01,32.5
CAN,Canada,1982-01-01,46.7
CHE,Switzerland,1982-01-01,61.3
DEU,Germany,1982-01-01,57.1
FRA,France,1982-01-01,48.9
GBR,United Kingdom,1982-01-01,37.8
HKG,"Hong Kong SAR, China",1982-01-01,30.4
KOR,"Korea, Rep.",1982-01-01,29.9
NLD,Netherlands,1982-01-01,57.9
NOR,Norway,1982-01-01,31.7
PHL,Philippines,1982-01-01,7.4
SGP,Singapore,1982-01-01,61.4
TWN,"Taiwan, China",1982-01-01,73.9
USA,United States,1982-01-01,50.1
ZAF,South Africa,1982-01-01,5.4
AUS,Australia,1982-04-01,33.4
CAN,Canada,1982-04-01,47.7
CHE,Switzerland,1982-04-01,62.5
DEU,Germany,1982-04-01,57.9
FRA,France,1982-04-01,50.1
GBR,United Kingdom,1982-04-01,38.1
HKG,"Hong Kong SAR, China",1982-04-01,31.2
KOR,"Korea, Rep.",1982-04-01,30.4
NLD,Netherlands,1982-04-01,58.1
NOR,Norway,1982-04-01,32.5
PHL,Philippines,1982-04-01,7.6
SGP,Singapore,1982-04-01,60.4
TWN,"Taiwan, China",1982-04-01,73.9
USA,United States,1982-04-01,50.7
ZAF,South Africa,1982-04-01,5.4
AUS,Australia,1982-07-01,34.0
CAN,Canada,1982-07-01,48.5
CHE,Switzerland,1982-07-01,63.4
DEU,Germany,1982-07-01,58.5
FRA,France,1982-07-01,51.1
GBR,United Kingdom,1982-07-01,38.7
HKG,"Hong Kong SAR, China",1982-07-01,32.5
KOR,"Korea, Rep.",1982-07-01,30.6
NLD,Netherlands,1982-07-01,58.0
NOR,Norway,1982-07-01,33.6
PHL,Philippines,1982-07-01,7.8
SGP,Singapore,1982-07-01,61.7
TWN,"Taiwan, China",1982-07-01,74.2
USA,United States,1982-07-01,51.4
ZAF,South Africa,1982-07-01,5.7
AUS,Australia,1982-10-01,35.1
CAN,Canada,1982-10-01,49.5
CHE,Switzerland,1982-10-01,64.1
DEU,Germany,1982-10-01,58.8
FRA,France,1982-10-01,52.0
GBR,United Kingdom,1982-10-01,39.5
HKG,"Hong Kong SAR, China",1982-10-01,32.2
KOR,"Korea, Rep.",1982-10-01,30.8
NLD,Netherlands,1982-10-01,59.2
NOR,Norway,1982-10-01,34.2
PHL,Philippines,1982-10-01,7.9
SGP,Singapore,1982-10-01,63.6
TWN,"Taiwan, China",1982-10-01,72.5
USA,United States,1982-10-01,52.0
ZAF,South Africa,1982-10-01,6.2
AUS,Australia,1983-01-01,35.8
CAN,Canada,1983-01-01,49.9
CHE,Switzerland,1983-01-01,63.8
DEU,Germany,1983-01-01,59.1
FRA,France,1983-01-01,53.3
GBR,United Kingdom,1983-01-01,40.2
HKG,"Hong Kong SAR, China",1983-01-01,31.8
KOR,"Korea, Rep.",1983-01-01,31.8
NLD,Netherlands,1983-01-01,59.5
NOR,Norway,1983-01-01,34.5
PHL,Philippines,1983-01-01,8.2
SGP,Singapore,1983-01-01,62.4
TWN,"Taiwan, China",1983-01-01,76.0
USA,United States,1983-01-01,52.4
ZAF,South Africa,1983-01-01,6.5
AUS,Australia,1983-04-01,36.2
CAN,Canada,1983-04-01,50.4
CHE,Switzerland,1983-04-01,64.1
DEU,Germany,1983-04-01,59.2
FRA,France,1983-04-01,54.8
GBR,United Kingdom,1983-04-01,40.2
HKG,"Hong Kong SAR, China",1983-04-01,32.1
KOR,"Korea, Rep.",1983-04-01,31.5
NLD,Netherlands,1983-04-01,59.3
NOR,Norway,1983-04-01,35.0
PHL,Philippines,1983-04-01,8.4
SGP,Singapore,1983-04-01,63.7
TWN,"Taiwan, China",1983-04-01,76.5
USA,United States,1983-04-01,52.8
ZAF,South Africa,1983-04-01,6.5
AUS,Australia,1983-07-01,37.3
CAN,Canada,1983-07-01,51.4
CHE,Switzerland,1983-07-01,64.4
DEU,Germany,1983-07-01,60.1
FRA,France,1983-07-01,56.3
GBR,United Kingdom,1983-07-01,40.8
HKG,"Hong Kong SAR, China",1983-07-01,33.4
KOR,"Korea, Rep.",1983-07-01,31.9
NLD,Netherlands,1983-07-01,59.3
NOR,Norway,1983-07-01,35.5
PHL,Philippines,1983-07-01,8.8
SGP,Singapore,1983-07-01,64.7
TWN,"Taiwan, China",1983-07-01,75.5
USA,United States,1983-07-01,53.3
ZAF,South Africa,1983-07-01,6.7
AUS,Australia,1983-10-01,37.7
CAN,Canada,1983-10-01,51.8
CHE,Switzerland,1983-10-01,65.1
DEU,Germany,1983-10-01,60.5
FRA,France,1983-10-01,57.2
GBR,United Kingdom,1983-10-01,41.5
HKG,"Hong Kong SAR, China",1983-10-01,34.5
KOR,"Korea, Rep.",1983-10-01,32.3
