Country Code,Country,Date,Producer_Price_Inflation
DNK,Denmark,1980-01-01,16.7
ESP,Spain,1980-01-01,17.4
FIN,Finland,1980-01-01,16.4
GAB,Gabon,1980-01-01,15.7
GBR,United Kingdom,1980-01-01,15.9
GTM,Guatemala,1980-01-01,16.1
HUN,Hungary,1980-01-01,15.4
IND,India,1980-01-01,20.1
IRL,Ireland,1980-01-01,10.9
ISR,Israel,1980-01-01,135.1
ITA,Italy,1980-01-01,45.6
JPN,Japan,1980-01-01,14.9
KOR,"Korea, Rep.",1980-01-01,39.0
NLD,Netherlands,1980-01-01,7.4
NOR,Norway,1980-01-01,13.4
NZL,New Zealand,1980-01-01,22.9
SGP,Singapore,1980-01-01,23.4
SWE,Sweden,1980-01-01,14.1
THA,Thailand,1980-01-01,20.1
TTO,Trinidad and Tobago,1980-01-01,19.4
TWN,"Taiwan, China",1980-01-01,21.5
URY,Uruguay,1980-01-01,41.7
USA,United States,1980-01-01,14.1
ZAF,South Africa,1980-01-01,15.4
ZMB,Zambia,1980-01-01,17.6
AUS,Australia,1981-01-01,8.4
BEL,Belgium,1981-01-01,14.1
CAF,Central African Republic,1981-01-01,14.7
CAN,Canada,1981-01-01,10.2
CHE,Switzerland,1981-01-01,5.6
COG,"Congo, Rep.",1981-01-01,13.3
COL,Colombia,1981-01-01,24.1
DEU,Germany,1981-01-01,7.8
DNK,Denmark,1981-01-01,15.7
ESP,Spain,1981-01-01,15.7
FIN,Finland,1981-01-01,13.5
GAB,Gabon,1981-01-01,10.3
GBR,United Kingdom,1981-01-01,10.7
GTM,Guatemala,1981-01-01,11.7
HUN,Hungary,1981-01-01,6.3
IND,India,1981-01-01,12.3
IRL,Ireland,1981-01-01,16.7
ISR,Israel,1981-01-01,122.7
ITA,Italy,1981-01-01,-51.6
JPN,Japan,1981-01-01,1.4
KOR,"Korea, Rep.",1981-01-01,20.4
LUX,Luxembourg,1981-01-01,10.7
NLD,Netherlands,1981-01-01,8.5
NOR,Norway,1981-01-01,10.5
NZL,New Zealand,1981-01-01,16.9
SGP,Singapore,1981-01-01,2.9
SWE,Sweden,1981-01-01,11.2
THA,Thailand,1981-01-01,9.5
TTO,Trinidad and Tobago,1981-01-01,16.9
TWN,"Taiwan, China",1981-01-01,7.6
URY,Uruguay,1981-01-01,23.5
USA,United States,1981-01-01,9.1
ZAF,South Africa,1981-01-01,13.2
ZMB,Zambia,1981-01-01,5.7
AUS,Australia,1982-01-01,8.9
AUT,Austria,1982-01-01,-2.8
BEL,Belgium,1982-01-01,13.5
CAF,Central African Republic,1982-01-01,14.4
CAN,Canada,1982-01-01,6.7
CHE,Switzerland,1982-01-01,3.7
COG,"Congo, Rep.",1982-01-01,15.0
COL,Colombia,1982-01-01,25.7
DEU,Germany,1982-01-01,5.9
DNK,Denmark,1982-01-01,10.7
ESP,Spain,1982-01-01,12.4
FIN,Finland,1982-01-01,7.5
GAB,Gabon,1982-01-01,14.7
GBR,United Kingdom,1982-01-01,8.5
GTM,Guatemala,1982-01-01,-6.1
HUN,Hungary,1982-01-01,4.8
IND,India,1982-01-01,2.4
IRL,Ireland,1982-01-01,11.8
ISR,Israel,1982-01-01,125.7
ITA,Italy,1982-01-01,13.1
JPN,Japan,1982-01-01,0.4
KOR,"Korea, Rep.",1982-01-01,4.7
LUX,Luxembourg,1982-01-01,17.9
MEX,Mexico,1982-01-01,54.6
