Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Note
LUX,137,Luxembourg,Inflation,Producer Price Inflation,,,,,-35.9,-3.3,,,,,,10.7,17.9,4.9,6.2,3.0,-1.6,-6.5,2.6,7.6,-2.0,-2.6,-2.7,-1.3,0.9,3.9,-3.1,1.5,2.4,-3.1,4.9,1.1,-1.0,0.9,10.2,6.2,6.3,5.9,6.1,-9.9,5.2,8.5,0.2,-3.5,-2.0,-0.8,-1.2,2.9,4.6,-1.9,-1.9,11.3,25.6,2.8," Producer Price Index, All Commodities"
LVA,941,Latvia,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,17.0,11.9,13.7,4.1,1.9,-4.0,0.5,1.1,0.4,3.4,8.1,7.9,10.2,16.1,11.7,-4.2,2.8,7.6,3.7,1.8,0.4,-0.9,-2.4,2.5,4.4,1.7,-1.9,13.1,30.8,0.8," Producer Price Index, All Commodities"
MAR,686,Morocco,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,5.9,1.8,18.0,-15.1,6.4,12.7,2.9,-1.9,-2.8,-4.6,1.6,1.7,2.6,0.5,-1.9,5.0,12.7,," Producer Price Index, All Commodities"
MDA,921,"Moldova, Rep.",Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.3,5.5,6.3,4.5,3.3,0.4,1.8,2.6,8.7,26.6,13.1," Producer Price Index, All Commodities"
MEX,273,Mexico,Inflation,Producer Price Inflation,,,,,,,,,,,,,54.6,97.9,66.4,56.6,86.7,141.4,105.3,11.5,21.7,21.6,12.3,7.4,6.1,38.6,33.9,17.5,16.0,14.2,7.8,5.0,5.1,8.3,8.0,4.7,5.6,4.4,7.1,4.5,4.2,5.2,4.6,1.4,2.7,2.9,5.7,6.9,5.5,2.9,4.8,7.1,8.9,1.7," Producer Price Index, All Commodities"
MKD,962,North Macedonia,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,89.5,4.7,-0.1,4.2,4.2,1.0,10.8,2.6,-0.8,0.0,0.9,3.2,6.8,2.5,10.1,-7.2,11.7,11.9,1.4,-1.4,-2.0,-3.9,-3.1,4.8,0.9,2.1,0.6,11.1,18.5,1.2," Producer Price Index, All Commodities"
MLT,181,Malta,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,3.5,,,,,2.0,7.1,,,,1.5,2.7,,1.0,-2.3,-5.3,-3.3,-0.6,5.8,-4.8,-1.2,-1.2,1.3,2.2,-1.4,-3.0,-0.6,-2.2,-0.2,1.5,4.4,2.2,0.3,3.2,5.5,3.6," Producer Price Index, All Commodities"
MNE,943,Montenegro,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,4.7,6.3,2.0,3.7,8.7,16.0,-5.4,-0.5,3.6,1.9,1.8,0.6,0.3,-0.4,1.8,1.8,2.4,0.0,1.3,11.1,6.0," Producer Price Index, All Commodities"
MNG,948,Mongolia,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,6.9,4.5,-7.4,5.8,31.3,2.9," Producer Price Index, All Commodities"
MOZ,688,Mozambique,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.7,11.6,-0.8,18.9,43.9,20.1,5.9,4.3,-31.4,12.0,21.7,-2.4," Producer Price Index, All Commodities"
