Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Note
ISR,436,Israel,Inflation,Official Core Consumer Price Inflation,,11.7,14.6,20.2,36.3,36.2,32.3,32.4,52.2,78.1,115.0,125.1,121.6,145.4,368.6,299.8,51.6,22.6,16.2,18.5,18.1,20.1,12.1,12.1,13.2,10.1,10.9,8.8,5.4,4.5,0.3,1.0,6.0,-0.3,-1.2,0.1,1.4,0.0,2.8,4.3,2.9,3.0,1.3,0.9,0.8,0.5,0.0,0.0,0.7,0.9,-0.1,1.2,3.9,4.2,All Items Excluding Food and Energy
ITA,136,Italy,Inflation,Official Core Consumer Price Inflation,17.2,5.8,5.7,10.5,16.5,16.9,35.3,-20.3,12.5,15.3,40.7,18.2,17.0,10.6,11.3,9.6,7.0,5.4,5.5,6.4,6.2,5.8,5.7,5.3,4.2,5.0,4.1,2.6,-12.4,-3.6,9.7,10.1,-22.9,2.5,2.1,2.1,1.7,1.9,35.2,-13.4,13.8,-3.3,1.7,1.1,0.8,0.7,-28.6,0.7,0.6,0.6,0.5,0.8,2.9,4.2,All Items Excluding Food and Energy
JOR,439,Jordan,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,9.5,-0.8,4.9,4.5,4.5,4.2,4.2,-0.7,0.6,4.7,4.6,1.0,0.2,1.8,3.2,2.3,All Items Excluding Food and Energy
JPN,158,Japan,Inflation,Official Core Consumer Price Inflation,6.9,7.0,5.6,11.5,20.6,11.3,9.8,8.6,5.3,3.9,5.9,4.7,3.0,2.5,2.8,2.6,1.7,1.3,1.0,2.5,2.6,2.7,2.4,1.4,0.9,0.4,0.4,1.7,0.7,-0.1,-0.5,-0.9,-0.8,-0.3,-0.4,-0.3,-0.2,-0.1,0.3,-0.8,-1.1,-0.8,-0.5,-0.1,2.0,1.0,0.4,-0.1,0.2,0.5,0.1,-0.7,0.3,2.7,All Items Excluding Food and Energy
KAZ,916,Kazakhstan,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,7.2,6.8,7.7,10.2,17.9,8.2,6.5,8.0,5.6,4.3,6.7,7.7,15.4,7.0,6.2,7.4,7.4,8.0,15.1,14.9,All Items Excluding Food and Energy
KGZ,917,Kyrgyz Republic,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.3,0.3,2.0,5.7,3.5,4.0,1.7,3.7,5.2,6.4,,,All Items Excluding Food and Energy
KOR,542,"Korea, Rep.",Inflation,Official Core Consumer Price Inflation,,,20.5,27.3,41.5,16.0,15.6,9.5,11.9,19.5,28.3,20.6,8.7,4.1,2.1,2.2,3.7,3.0,6.1,6.0,8.4,8.3,6.2,5.2,5.1,4.6,5.1,3.4,5.9,0.3,1.9,3.6,3.0,3.1,2.9,2.3,1.8,2.3,4.3,3.6,1.8,3.2,1.7,1.6,2.0,2.2,1.6,1.5,1.2,0.9,0.4,1.4,3.6,3.4,All Items Excluding Food and Energy
KWT,443,Kuwait,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,-1.1,0.8,4.3,3.0,4.8,9.1,3.7,2.2,,,,,,,,0.6,1.1,1.6,2.3,3.3,3.0,All Items Excluding Food and Energy
LAO,544,"Lao, PDR",Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.8,2.8,1.9,1.1,1.0,2.2,2.1,2.3,3.8,21.7,,All Items Excluding Food and Energy
LBN,446,Lebanon,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Items Excluding Food and Energy
LBY,672,Libya,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.6,1.1,4.3,2.0,2.2,,,,,,,,,,,,,,All Items Excluding Food and Energy
LKA,524,Sri Lanka,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.9,3.6,8.5,7.9,2.1,0.8,1.8,3.1,3.4,3.7,4.1,5.5,42.0,15.8,Dynamic Core Consumer Price Index
LTU,946,Lithuania,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,10.8,8.5,3.2,-1.0,0.0,0.5,0.7,0.7,1.2,2.3,5.1,9.0,3.9,0.1,2.3,2.3,1.3,1.0,1.2,2.2,3.9,2.2,2.4,3.1,3.5,10.3,9.9,All Items Excluding Food and Energy
LUX,137,Luxembourg,Inflation,Official Core Consumer Price Inflation,4.3,4.9,5.2,6.2,9.6,10.1,9.6,7.1,3.5,4.2,5.8,7.4,8.8,7.7,6.3,4.2,2.5,1.0,1.8,3.2,3.1,3.4,4.3,4.2,2.6,2.0,0.9,1.3,1.1,0.9,2.2,2.7,1.9,1.9,1.9,1.8,2.1,2.1,2.0,2.0,1.6,2.4,2.1,2.1,1.3,1.6,1.0,1.4,0.9,1.8,1.3,1.6,4.0,3.7,All Items Excluding Food and Energy
LVA,941,Latvia,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,16.7,6.8,2.3,0.7,0.6,1.6,0.8,4.4,4.3,4.7,8.5,12.2,5.4,-2.2,0.8,0.4,0.2,1.8,1.8,1.6,1.6,2.3,2.8,1.2,1.9,7.2,8.3,All Items Excluding unprocessed food and energy
MAC,546,"Macao SAR, China",Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,41.2,13.9,14.2,11.0,-5.9,-15.7,6.3,,,,,,,All Items Excluding Food and Energy
MAR,686,Morocco,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.0,1.6,1.1,1.5,1.6,3.1,1.7,4.5,0.7,0.4,1.8,0.9,1.5,1.2,1.4,0.8,1.3,1.8,0.6,0.5,1.6,5.8,,All Items Excluding Food and Energy
MEX,273,Mexico,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,27.0,29.5,59.1,102.8,66.0,58.0,86.5,131.8,111.7,20.0,26.3,23.0,14.9,10.6,7.3,34.6,33.2,19.9,16.1,17.2,9.7,6.5,4.5,3.9,3.8,3.5,3.3,3.8,4.7,5.0,3.9,3.2,3.4,2.7,3.2,2.4,3.0,4.7,3.8,3.7,3.2,3.9,6.0,5.7,All Items Excluding Food and Energy
MKD,962,North Macedonia,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,0.7,2.5,0.4,0.2,1.2,2.0,3.1,0.6,0.6,1.4,2.3,1.5,0.5,0.9,2.4,12.3,8.1,All Items Excluding Food and Energy
MLT,181,Malta,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,2.1,,,,,24.8,-23.8,,,4.0,4.0,2.4,2.9,2.3,2.7,1.9,2.9,1.9,1.8,0.8,3.9,1.5,1.1,1.5,2.6,0.7,1.7,1.6,1.2,1.0,1.8,1.4,0.8,0.6,6.2,,All Items Excluding Excluding Food Products
MNE,943,Montenegro,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,1.6,-1.4,-1.5,-1.3,-0.9,,,,,,,,All Items Excluding Food and Energy
MUS,684,Mauritius,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,6.6,15.0,15.9,12.7,6.6,9.5,3.8,2.8,4.7,3.1,2.6,3.1,1.7,2.2,2.2,1.8,1.8,3.1,4.5,7.3,5.2,All Items Excluding Food and Energy
MYS,548,Malaysia,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,2.6,1.6,1.4,1.9,1.3,1.4,2.2,3.3,2.7,1.8,0.6,1.1,0.9,0.4,1.7,1.8,All Items Excluding Food and Energy
NGA,694,Nigeria,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,7.5,4.3,5.2,7.7,10.8,8.1,19.8,13.1,10.5,13.9,2.9,6.7,11.2,12.0,10.6,13.3,6.8,7.2,8.2,12.6,13.0,11.2,9.8,10.9,13.7,16.0,20.8,All Items Excluding Food and Energy
NIC,278,Nicaragua,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.2,5.0,6.4,4.4,4.2,4.1,5.8,3.6,4.4,8.2,7.6,All Items Excluding Food and Energy
NLD,138,Netherlands,Inflation,Official Core Consumer Price Inflation,3.8,8.5,8.3,8.2,9.7,10.4,8.5,6.5,4.8,4.5,6.3,5.9,5.4,3.5,3.2,2.6,1.2,0.7,1.0,1.2,2.1,2.8,3.7,3.6,2.9,2.3,3.8,1.7,2.1,2.2,1.6,3.5,3.4,2.0,1.5,1.2,0.4,1.5,1.8,1.8,1.6,1.8,2.0,2.7,1.4,1.3,0.8,1.0,1.3,2.0,2.1,1.9,4.2,5.6,All Items Excluding Food and Energy
NOR,142,Norway,Inflation,Official Core Consumer Price Inflation,-26.1,,,-13.2,,,,,,4.5,10.4,12.3,10.6,8.7,6.0,5.8,7.7,9.3,6.6,4.8,3.9,3.5,2.6,2.9,1.5,2.4,1.1,2.2,2.3,2.2,2.5,3.3,2.0,1.1,0.5,1.4,1.0,1.7,2.3,2.6,1.5,1.8,1.6,1.7,2.5,2.6,3.3,1.7,1.2,2.6,3.1,1.7,3.6,5.8,All Items Excluding Food and Energy
